Règne,Embranchement,Classe,Ordre,Famille,Genre,Espèce,Nom latin,name,Image_URL,Zone,Vulnerability
Animal,Chordé vertébré,Chondrichtyens (poissons cartilagineux),Orectolobiformes,Rhincodontidae,Rhincodon,typus,rhincodon typus,requin baleine,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-renard-polaire.jpg,Europe,Endangered
Animal,Chordé vertébré,Mammifère placentaire,Périssodactyle,Rhinocérotidé,Ceratotherium,simum,ceratotherium simum,rhinoceros blanc,https://www.monde-animal.fr/wp-content/uploads/2020/03/fiche-animale-monde-animal-requin-baleine.jpg,Arctique,Aucun résultat
Animal,Chordé vertébré,Mammifère placentaire,Périssodactyle,Rhinocérotidé,Diceros,bicornis,diceros bicornis,rhinoceros noir,https://www.monde-animal.fr/wp-content/uploads/2020/04/fiche-animale-monde-animal-grand-requin-blanc.jpg,Arctique,Least Concern
Animal,Chordé vertébré,Amphibien,Caudata,Salamandridae,Salamandra,atra,salamandra atra,salamandre alpestre,https://www.monde-animal.fr/wp-content/uploads/2020/06/fiche-animale-monde-animal-rhinoceros-noir.jpg,Amérique du Nord,Endangered
Animal,Chordé vertébré,Amphibien,Caudata,Salamandridae,Salamandra,salamandra,salamandra salamandra,salamandre commune,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-baleine-a-bosse.jpg,Océan Atlantique,Aucun résultat
Animal,Chordé vertébré,Amphibien,Urodèle (Caudata),Cryptobranchidae,Andrias,davidianus,andrias davidianus,salamandre geante de chine,https://www.monde-animal.fr/wp-content/uploads/2020/10/fiche-animale-monde-animal-salamandre-tachetée.jpg,Afrique,Least Concern
Animal,Chordé vertébré,Mammifère placentaire,Artiodactyle ruminant,Cervidae cervinae,Rusa,unicolor,rusa unicolor,sambar,https://www.monde-animal.fr/wp-content/uploads/2020/10/fiche-animale-monde-animal-salamandre-tachetée.jpg,Alpes,Least Concern
Animal,Chordé vertébré,Mammifère placentaire,Artiodactyle ruminant,Suidae,Sus,scrofa,sus scrofa,sanglier,https://www.monde-animal.fr/wp-content/uploads/2020/10/fiche-animale-monde-animal-salamandre-tachetée.jpg,Chine,Least Concern
Animal,Chordé vertébré,,Carnivore féliforme,Félin féliné,Leptailurus,serval,leptailurus serval,serval,https://www.monde-animal.fr/wp-content/uploads/2021/07/fiche-animale-monde-animal-oreotrague-oreotragus-oreotragus.jpg,Amérique du Nord,Least Concern
Animal,Chordé vertébré,Mammifère placentaire,Artiodactyle ruminant,Bovidé antilopiné,Antidorcas,marsupialis,antidorcas marsupialis,springbok,https://www.monde-animal.fr/wp-content/uploads/2020/10/fiche-animale-monde-animal-hurleur-noir.jpg,Afrique,Endangered
Animal,Chordé vertébré,Oiseaux,Charadriiformes,Laridae,Sterna,paradisaea,sterna paradisaea,sterne arctique,https://www.monde-animal.fr/wp-content/uploads/2020/10/fiche-animale-monde-animal-hurleur-roux.jpg,Afrique,Aucun résultat
Animal,Chordé vertébré,Mammifère placentaire,Carnivore,Herpestidae,Suricata,suricatta,suricata suricatta,suricate,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-gelada.jpg,Le serval vit dans plusieurs pays d’Afrique,Aucun résultat
Animal,Chordé vertébré,Reptile lépidosaurien,Squamate serpent,Elapidae,Oxyuranus,microlepidotus,oxyuranus microlepidotus,taipan du desert,https://www.monde-animal.fr/wp-content/uploads/2020/11/fiche-animale-monde-animal-grand-dauphin.jpg,Asie du Sud Est.,Least Concern
Animal,Chordé vertébré,Mammifère euthérien,Périssodactyle,Tapiridae,Tapirus,bairdii,tapirus bairdii,tapir de baird,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-sterne-arctique.jpg,Amérique du Sud,Endangered
Animal,Chordé vertébré,Mammifère euthérien,Périssodactyle,Tapiridé,Tapirus,terrestris,tapirus terrestris,tapir du bresil,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-suricate.jpg,Amérique du Sud,Least Concern
Animal,Chordé vertébré,Mammifère euthérien,Périssodactyle,Tapiridae,Tapirus,indicus,tapirus indicus,tapir malais,https://www.monde-animal.fr/wp-content/uploads/2020/07/fiche-animale-monde-animal-taipan-du-desert.jpg,Afrique,Least Concern
Animal,Chordé vertébré,,Carnivore féliforme,Felidae pantherinae,Panthera,tigris,panthera tigris,tigre,https://www.monde-animal.fr/wp-content/uploads/2020/06/fiche-animale-monde-animal-tapir-malais.jpg,Afrique.,Least Concern
Animal,Chordé vertébré,Reptile,Testudines,Testudinidae,Chelonoidis,nigra,chelonoidis nigra,tortue geante des galapagos,https://www.monde-animal.fr/wp-content/uploads/2021/03/fiche-animale-monde-animal-tarente-de-mauretanie-tarentola-mauritanica.jpg,Amérique du Sud,Aucun résultat
Animal,Chordé vertébré,Reptile,Testudines,Dermochelyidae,Dermochelys,Coriacea,dermochelys coriacea,tortue luth,https://www.monde-animal.fr/wp-content/uploads/2021/03/fiche-animale-monde-animal-tarente-de-mauretanie-tarentola-mauritanica.jpg,Amérique Centrale (Amérique du Sud et Amérique du Nord).,Least Concern
Animal,Chordé vertébré,Reptile,Testudines,Cheloniidae,Lepidochelys,olivacea,lepidochelys olivacea,tortue olivatre,https://www.monde-animal.fr/wp-content/uploads/2020/06/panthera-tigris-tigre.jpg,Amérique du Sud.,Vulnerable
Animal,Chordé vertébré,Reptile,Testudines,Cheloniidae,Chelonia,mydas,chelonia mydas,tortue verte,https://www.monde-animal.fr/wp-content/uploads/2020/06/fiche-animale-monde-animal-tortue-caouanne-caretta-caretta.jpg,Asie,Vulnerable
Animal,Chordé vertébré,Aves,Piciformes,Ramphastidae,Ramphastos,toco,ramphastos toco,toucan,https://www.monde-animal.fr/wp-content/uploads/2020/05/fiche-animale-monde-animal-tortue-geante-des-galapagos-1.jpg,Europe de l’Ouest,Critically Endangered
Animal,Chordé vertébré,Amphibien,Caudata,Salamandridae,Ichthyosaura,alpestris,ichthyosaura alpestris,triton alpestre,https://www.monde-animal.fr/wp-content/uploads/2020/05/fiche-animale-monde-animal-tortue-olivatre.jpg,Europe de l’Ouest,Least Concern
Animal,Chordé vertébré,Reptile lepidosaurien,Squamata,Varanidae,Varanus,exanthematicus,varanus exanthematicus,varan des savanes,https://www.monde-animal.fr/wp-content/uploads/2020/10/fiche-animale-monde-animal-triton-alpestre.jpg,Océan Atlantique,Endangered
Animal,Chordé vertébré,Mammifère placentaire,Primates,Lemuridé,Varecia,variegata,varecia variegata,vari noir et blanc,https://www.monde-animal.fr/wp-content/uploads/2020/07/fiche-animale-monde-animal-aigle-australien-d-australie.jpg,Océan Atlantique,Vulnerable
